Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,144.5,-111,90,top
C2,100nF,C_0402_1005Metric,156,-113.5,270,top
C4,15pF,C_0402_1005Metric,151.75,-116.5,180,top
C5,15pF,C_0402_1005Metric,147.75,-116.5,180,top
C6,1uF,C_0402_1005Metric,142,-111,90,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,150,-76.5,180,top
R3,22R,R_0402_1005Metric,144.49,-107.5,180,top
R4,22R,R_0402_1005Metric,141.5,-107.5,180,top
R5,1M,R_0402_1005Metric,149.74,-116.5,0,top
R6,10k,R_0402_1005Metric,142,-113.99,90,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,150,-111,0,top
